               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084041,             0.11875,            0.028968,             0.70578,             0.24117,             0.21583,            0.094078,            0.059027,            0.087643,            0.016414,            0.070026,           0.0033305,           0.0033305
                   1,            0.060176,             0.11167,             0.01376,             0.63258,             0.40193,             0.38764,             0.19827,            0.049533,            0.084338,            0.010421,            0.039696,           0.0063339,           0.0063339
                   2,            0.054733,              0.1098,            0.010276,             0.47239,             0.63908,             0.55085,             0.28119,            0.047381,            0.081611,           0.0082891,            0.009036,           0.0090074,           0.0090074
                   3,            0.049157,             0.11022,           0.0085448,             0.62835,              0.6493,             0.63626,             0.36422,            0.044332,             0.08166,           0.0072352,            0.008515,            0.008515,            0.008515
                   4,            0.046463,             0.10864,           0.0073435,             0.66639,             0.66861,             0.66687,             0.37384,            0.041466,             0.07982,           0.0058855,            0.008515,            0.008515,            0.008515
                   5,            0.043719,             0.10719,           0.0064463,             0.66254,             0.69527,             0.69186,              0.4239,            0.040967,             0.08038,           0.0056108,             0.00802,             0.00802,             0.00802
                   6,            0.041827,             0.10555,           0.0060554,             0.70783,             0.69788,             0.71575,             0.43683,            0.038915,            0.078903,           0.0050099,            0.007525,            0.007525,            0.007525
                   7,            0.040832,             0.10468,            0.005597,             0.70389,             0.71456,             0.72643,             0.44761,            0.038581,             0.07772,           0.0047944,             0.00703,             0.00703,             0.00703
                   8,            0.039697,             0.10378,           0.0053059,             0.70686,             0.74313,             0.73868,             0.46519,            0.036724,            0.076592,            0.004614,            0.006535,            0.006535,            0.006535
                   9,            0.038517,             0.10272,           0.0050807,             0.73478,             0.71758,              0.7346,             0.46461,            0.036505,            0.076344,           0.0045223,             0.00604,             0.00604,             0.00604
                  10,            0.037932,             0.10165,           0.0048391,             0.72096,             0.73711,             0.73795,             0.47212,            0.036416,            0.076793,            0.004416,            0.005545,            0.005545,            0.005545
                  11,            0.036855,             0.10008,           0.0047248,             0.75012,             0.71859,             0.75437,             0.48112,            0.036076,            0.075987,           0.0043999,             0.00505,             0.00505,             0.00505
                  12,            0.036105,            0.098486,           0.0045562,             0.73039,             0.73726,             0.75056,             0.48508,            0.035669,            0.075734,           0.0045271,            0.004555,            0.004555,            0.004555
                  13,            0.035467,            0.098271,           0.0042757,             0.73896,             0.74143,             0.76493,             0.48619,            0.035219,            0.074769,           0.0042118,             0.00406,             0.00406,             0.00406
                  14,            0.034816,             0.09902,           0.0040098,              0.7497,             0.73752,             0.76187,             0.48849,            0.034962,            0.075154,           0.0041502,            0.003565,            0.003565,            0.003565
                  15,            0.034274,            0.095893,           0.0040217,             0.75576,             0.75121,             0.77291,             0.50104,            0.034426,            0.074587,           0.0039735,             0.00307,             0.00307,             0.00307
                  16,            0.033768,            0.094764,           0.0039242,             0.75464,             0.75683,             0.77704,              0.5076,            0.034079,            0.074174,           0.0040995,            0.002575,            0.002575,            0.002575
                  17,            0.033101,            0.093994,           0.0037844,             0.77454,             0.74809,             0.77435,             0.50809,            0.034174,             0.07412,           0.0039708,             0.00208,             0.00208,             0.00208
                  18,            0.032679,            0.093786,           0.0035953,             0.78369,             0.76211,             0.79085,             0.52675,            0.033383,            0.072716,           0.0037585,            0.001585,            0.001585,            0.001585
                  19,            0.032207,            0.092031,            0.003682,             0.76471,             0.76408,             0.78706,              0.5271,            0.033053,            0.072686,           0.0039948,             0.00109,             0.00109,             0.00109
