               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  23,            0.029765,            0.083447,           0.0030638,             0.81134,             0.79778,             0.82863,             0.57691,            0.030987,            0.067722,           0.0033817,            0.004555,            0.004555,            0.004555
                  24,            0.029483,            0.083065,           0.0031835,             0.83314,             0.79894,             0.83432,              0.5918,            0.030527,            0.066055,           0.0032416,           0.0043075,           0.0043075,           0.0043075
                  25,            0.028917,            0.081506,           0.0030715,             0.83508,              0.7931,             0.83577,             0.59059,            0.030318,            0.066806,           0.0034138,             0.00406,             0.00406,             0.00406
                  26,            0.028585,            0.081147,           0.0030571,              0.8223,             0.80896,             0.84071,              0.5957,            0.030138,            0.065924,            0.003416,           0.0038125,           0.0038125,           0.0038125
                  27,            0.028487,            0.079113,           0.0028242,             0.82265,             0.79664,             0.83092,             0.58622,            0.030062,            0.065171,           0.0039271,            0.003565,            0.003565,            0.003565
                  28,            0.028214,             0.07992,           0.0029375,             0.83515,              0.8109,             0.84503,              0.6035,            0.029581,            0.064633,           0.0033882,           0.0033175,           0.0033175,           0.0033175
                  29,            0.027703,            0.079646,           0.0027357,             0.82355,             0.81001,             0.84456,             0.60355,            0.029509,            0.064286,            0.003476,             0.00307,             0.00307,             0.00307
                  30,             0.02744,            0.077606,           0.0026782,             0.84362,             0.80551,             0.84639,             0.61442,            0.029295,             0.06474,           0.0032195,           0.0028225,           0.0028225,           0.0028225
                  31,            0.026932,            0.076826,           0.0025257,             0.84913,             0.79977,             0.85126,             0.61776,             0.02909,            0.064321,           0.0031656,            0.002575,            0.002575,            0.002575
                  32,            0.026667,            0.076311,           0.0025023,             0.84275,             0.81033,             0.84697,             0.61544,             0.02907,            0.064858,            0.003286,           0.0023275,           0.0023275,           0.0023275
                  33,              0.0265,            0.076332,           0.0024724,             0.84242,             0.81969,             0.85385,             0.61933,            0.028854,            0.064401,           0.0033067,             0.00208,             0.00208,             0.00208
                  34,            0.026239,            0.075453,           0.0025573,               0.831,             0.81478,             0.84835,             0.61084,            0.029189,            0.064842,           0.0033156,           0.0018325,           0.0018325,           0.0018325
                  35,            0.025793,            0.073801,           0.0023967,             0.84318,             0.80933,              0.8481,             0.61671,            0.028932,            0.064589,           0.0033092,            0.001585,            0.001585,            0.001585
                  36,            0.025838,            0.073322,           0.0024088,             0.83939,             0.82231,             0.85149,             0.61726,            0.028873,            0.064033,           0.0033575,           0.0013375,           0.0013375,           0.0013375
                  37,            0.025366,            0.072921,           0.0022701,             0.83814,             0.82318,             0.85681,             0.62701,            0.028484,            0.063689,           0.0033431,             0.00109,             0.00109,             0.00109
                  38,            0.025303,            0.071908,            0.002389,             0.84582,             0.81594,             0.85209,             0.62309,            0.028565,            0.064188,           0.0033235,           0.0008425,           0.0008425,           0.0008425
                  39,            0.025035,            0.071629,           0.0022296,             0.83883,             0.82538,             0.85283,             0.62213,            0.028539,            0.064044,           0.0032993,            0.000595,            0.000595,            0.000595
