               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07883,             0.11408,            0.026089,             0.56266,             0.39826,             0.31834,              0.1531,            0.055123,            0.082302,            0.014363,            0.070026,           0.0033305,           0.0033305
                   1,            0.056498,             0.10723,            0.012101,             0.63177,             0.42197,             0.47732,             0.24803,            0.049288,            0.079208,           0.0088748,            0.039861,           0.0064989,           0.0064989
                   2,            0.051749,             0.10525,           0.0089658,             0.64988,             0.63883,             0.62713,             0.34288,            0.045363,            0.078879,           0.0081924,           0.0095309,           0.0095023,           0.0095023
                   3,            0.046844,             0.10445,            0.007428,             0.67597,             0.66565,             0.67567,             0.40539,            0.043267,            0.077885,           0.0058221,           0.0092575,           0.0092575,           0.0092575
                   4,            0.043637,             0.10388,           0.0065494,             0.73024,             0.71688,             0.73036,             0.44224,            0.039407,            0.075643,            0.005582,           0.0092575,           0.0092575,           0.0092575
                   5,             0.04189,             0.10084,           0.0058754,             0.71128,             0.70872,             0.71604,             0.43502,            0.039986,            0.075106,           0.0054872,             0.00901,             0.00901,             0.00901
                   6,            0.039928,            0.099622,           0.0056162,             0.74238,             0.74277,             0.75706,             0.47275,            0.036723,            0.073267,           0.0048151,           0.0087625,           0.0087625,           0.0087625
                   7,             0.03931,            0.098179,           0.0052586,             0.71357,             0.74593,              0.7494,             0.48075,            0.036109,            0.073638,           0.0049028,            0.008515,            0.008515,            0.008515
                   8,            0.037933,            0.097497,           0.0048964,             0.75327,             0.72894,             0.75624,             0.48976,            0.035762,            0.074777,           0.0046316,           0.0082675,           0.0082675,           0.0082675
                   9,            0.037049,            0.096625,           0.0047477,             0.77082,             0.74131,             0.77511,             0.50394,            0.035515,            0.071126,           0.0041719,             0.00802,             0.00802,             0.00802
                  10,            0.036219,            0.095588,           0.0045955,             0.75397,             0.75884,             0.77245,             0.50522,            0.034841,            0.070877,           0.0043742,           0.0077725,           0.0077725,           0.0077725
                  11,            0.035614,            0.094204,            0.004472,             0.74312,             0.76855,             0.77571,             0.51684,            0.034424,            0.070412,           0.0046747,            0.007525,            0.007525,            0.007525
                  12,            0.035098,            0.092764,           0.0041624,             0.76261,             0.77514,             0.78286,             0.52351,            0.034656,            0.071624,           0.0037619,           0.0072775,           0.0072775,           0.0072775
                  13,            0.034375,            0.091964,           0.0040092,             0.75528,             0.76768,             0.78529,             0.52817,            0.033568,            0.069769,           0.0040457,             0.00703,             0.00703,             0.00703
                  14,            0.033619,            0.091764,           0.0039343,             0.77066,             0.77235,             0.79332,             0.53747,            0.033241,            0.069205,           0.0038962,           0.0067825,           0.0067825,           0.0067825
                  15,            0.033291,            0.090868,            0.003928,             0.77619,             0.75383,             0.78645,             0.52455,            0.033431,            0.070931,           0.0040127,            0.006535,            0.006535,            0.006535
                  16,            0.032799,            0.088492,           0.0036249,             0.78553,             0.75748,             0.78319,             0.51966,            0.033705,            0.072456,           0.0039995,           0.0062875,           0.0062875,           0.0062875
                  17,            0.032354,            0.088343,           0.0035755,             0.80277,             0.77528,             0.80513,             0.55865,            0.032041,            0.068128,            0.003671,             0.00604,             0.00604,             0.00604
                  18,            0.031911,            0.087047,           0.0034652,             0.80198,             0.78795,             0.81791,             0.56997,            0.031597,            0.067739,           0.0034936,           0.0057925,           0.0057925,           0.0057925
                  19,            0.031213,             0.08564,           0.0033674,             0.80157,             0.77345,             0.80968,              0.5652,            0.032241,            0.069741,           0.0034195,            0.005545,            0.005545,            0.005545
                  20,            0.030921,            0.086923,           0.0035555,             0.80826,             0.79114,             0.82592,             0.57629,            0.031116,            0.066241,           0.0034114,           0.0052975,           0.0052975,           0.0052975
                  21,             0.03054,              0.0848,           0.0032792,              0.8159,             0.79817,             0.83479,             0.58203,            0.031006,            0.066517,           0.0035085,             0.00505,             0.00505,             0.00505
                  22,            0.030096,            0.083441,           0.0033155,             0.81044,             0.79437,             0.82706,             0.58133,            0.030984,            0.066418,           0.0033369,           0.0048025,           0.0048025,           0.0048025
